Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,16.793169,16.925997,16.717268,16.774195,11.182622,34091103
2011-01-04,16.878557,17.077799,16.736242,17.068312,11.378699,44323019
2011-01-05,16.992411,17.305504,16.944971,17.182163,11.454599,68371926
2011-01-06,17.352942,17.390892,17.039848,17.248577,11.498874,123138820
2011-01-07,17.258064,17.438330,17.077799,17.400379,11.600076,137753584
2011-01-10,17.286528,17.400379,17.229603,17.324478,11.549476,118517241
2011-01-11,17.248577,17.381405,17.201139,17.286528,11.524175,34342482
2011-01-12,17.352942,17.457306,17.286528,17.428843,11.619049,28908690
2011-01-13,17.400379,17.533207,17.210627,17.286528,11.524175,48375016
2011-01-14,17.258064,17.409866,17.220114,17.400379,11.600076,31712857
2011-01-18,17.409866,17.495256,17.352942,17.438330,11.625375,32992308
2011-01-19,17.485769,17.542694,17.220114,17.381405,11.587421,40238558
2011-01-20,17.381405,17.428843,17.096773,17.305504,11.536824,53150269
2011-01-21,17.314991,17.438330,17.239088,17.419355,11.612728,41885117
2011-01-24,17.390892,17.590134,17.371918,17.504744,11.669647,66197208
2011-01-25,17.656546,17.798861,17.466793,17.523720,11.682300,74160705
2011-01-26,17.647058,17.656546,17.419355,17.419355,11.612728,57341711
2011-01-27,17.428843,17.561670,17.333965,17.533207,11.688629,45091069
2011-01-28,17.580645,17.609108,17.210627,17.220114,11.479899,49325408
2011-01-31,17.258064,17.390892,17.229603,17.286528,11.524175,44307103
2011-02-01,17.542694,18.396584,17.514231,18.235294,12.156676,141769535
2011-02-02,18.111954,18.225805,17.855787,17.988615,12.118327,77096200
2011-02-03,17.893738,18.263758,17.703985,18.187857,12.252549,69004221
2011-02-04,18.111954,18.311195,17.969639,18.311195,12.335641,46017851
2011-02-07,18.282732,18.311195,18.017078,18.064516,12.169458,42916350
2011-02-08,18.026566,18.197344,18.026566,18.178368,12.246155,26593052
2011-02-09,18.102467,18.149904,17.884251,18.074003,12.175852,35920952
2011-02-10,18.036053,18.074003,17.922201,18.055029,12.163069,41079650
2011-02-11,17.751423,17.979128,17.666035,17.865274,12.035233,44159227
2011-02-14,17.855787,18.083490,17.760912,18.074003,12.175852,37640237
2011-02-15,17.988615,18.074003,17.846300,18.074003,12.175852,39293015
2011-02-16,18.102467,18.320683,18.026566,18.292219,12.322855,39449744
2011-02-17,18.235294,18.396584,18.045542,18.377609,12.380380,45039317
2011-02-18,18.377609,18.377609,18.102467,18.206831,12.265332,42730636
2011-02-22,17.912712,18.149904,17.760912,17.922201,12.073585,65314483
2011-02-23,17.817837,17.903227,17.713472,17.798861,11.990498,45480943
2011-02-24,17.846300,17.988615,17.713472,17.931688,12.079980,43008048
2011-02-25,17.941175,17.988615,17.760912,17.893738,12.054409,32831468
2011-02-28,17.979128,18.330172,17.931688,18.254269,12.297290,52547170
2011-03-01,18.358635,18.491461,18.149904,18.159393,12.233374,54639992
2011-03-02,18.197344,18.216318,17.998102,18.206831,12.265332,48976745
2011-03-03,18.396584,18.823528,18.320683,18.757116,12.636041,61992802
2011-03-04,18.709677,18.880455,18.529411,18.652752,12.565737,53721221
2011-03-07,18.633776,18.652752,18.358635,18.605312,12.533773,48172965
2011-03-08,18.624289,18.738140,18.481974,18.671726,12.578514,39723047
2011-03-09,18.605312,18.690702,18.500950,18.652752,12.565737,30742334
2011-03-10,18.548388,18.576851,18.349146,18.368120,12.373988,45151463
2011-03-11,18.349146,18.548388,18.311195,18.472486,12.444292,42162846
2011-03-14,18.453510,19.222012,18.453510,18.795067,12.661603,178653000
2011-03-15,18.377609,18.842505,18.282732,18.747627,12.629650,83471530
2011-03-16,18.633776,18.690702,18.168880,18.311195,12.335641,73658685
2011-03-17,18.529411,18.918406,18.481974,18.861481,12.706347,62159861
2011-03-18,19.165085,19.250475,18.946869,19.146111,12.898091,84152730
2011-03-21,19.278936,19.335863,18.908918,18.956356,12.770265,50203390
2011-03-22,18.927895,19.060720,18.804554,18.918406,12.744697,48384186
2011-03-23,18.861481,18.965843,18.728653,18.899431,12.731915,36327480
2011-03-24,18.975332,19.316889,18.795067,19.259962,12.974789,52057692
2011-03-25,19.307400,19.449715,19.259962,19.307400,13.006750,40498474
2011-03-28,19.373814,19.411764,19.165085,19.231499,12.955616,30095494
2011-03-29,19.079697,19.354839,19.079697,19.335863,13.025925,35652393
2011-03-30,19.440228,19.516129,19.269449,19.297913,13.000355,40616944
2011-03-31,19.231499,19.468691,19.184061,19.269449,12.981177,43272602
2011-04-01,19.307400,19.392790,19.212524,19.335863,13.025925,29555741
2011-04-04,19.497154,19.554079,19.392790,19.487665,13.128184,44705832
2011-04-05,19.440228,19.506641,19.335863,19.402277,13.070664,33540810
2011-04-06,19.440228,19.478178,19.231499,19.250475,12.968400,47601591
2011-04-07,19.240988,19.297913,19.117647,19.288425,12.993968,46451783
2011-04-08,19.297913,19.497154,19.269449,19.411764,13.077054,37154976
2011-04-11,19.497154,19.667933,19.430740,19.611006,13.211277,39499809
2011-04-12,19.535105,19.686907,19.383303,19.411764,13.077054,46458001
2011-04-13,19.487665,19.516129,19.288425,19.411764,13.077054,31479818
2011-04-14,19.392790,19.554079,19.354839,19.440228,13.096230,51137234
2011-04-15,19.497154,19.582542,19.297913,19.478178,13.121799,52141907
2011-04-18,19.278936,19.411764,19.174574,19.354839,13.038709,47891441
2011-04-19,19.269449,19.525618,19.203035,19.478178,13.121799,34810458
2011-04-20,19.620493,19.810247,19.335863,19.345350,13.032316,68271164
2011-04-21,19.421251,19.497154,18.121443,18.776091,12.648824,146497146
2011-04-25,18.927895,19.136621,18.880455,19.108158,12.872525,47490500
2011-04-26,19.127134,19.288425,18.975332,19.155598,12.904488,38681800
2011-04-27,19.222012,19.686907,19.174574,19.573055,13.185709,48427084
2011-04-28,19.592030,19.791271,19.573055,19.762808,13.313540,36359206
2011-04-29,19.781784,19.981026,19.696396,19.895636,13.403026,45849000
2011-05-02,20.056927,20.113852,19.886148,19.943073,13.434978,40254473
2011-05-03,19.895636,19.924099,19.041746,19.392790,13.064273,114748453
2011-05-04,19.383303,19.611006,19.297913,19.582542,13.192102,53470579
2011-05-05,19.554079,19.611006,19.240988,19.345350,13.032316,44522119
2011-05-06,19.440228,19.573055,19.354839,19.497154,13.134580,35665990
2011-05-09,19.478178,19.677420,19.402277,19.544592,13.166537,32666622
2011-05-10,19.629980,19.886148,19.601519,19.791271,13.332717,35154694
2011-05-11,19.705881,19.772297,19.468691,19.554079,13.300449,45363633
2011-05-12,19.620493,19.905123,19.525618,19.819735,13.481148,37957386
2011-05-13,19.876659,19.914612,19.715370,19.848198,13.500503,38654712
2011-05-16,19.772297,20.047438,19.715370,19.905123,13.539222,48333594
2011-05-17,20.000000,20.123341,19.905123,20.056927,13.642479,61324355
2011-05-18,20.028463,20.104364,19.943073,20.094877,13.668292,47371187
2011-05-19,20.151802,20.189753,19.848198,19.952562,13.571491,49121354
2011-05-20,19.895636,19.962049,19.620493,19.629980,13.352074,56460988
2011-05-23,19.440228,19.582542,19.354839,19.535105,13.287545,41118753
2011-05-24,19.449715,19.629980,19.402277,19.468691,13.242367,45292593
2011-05-25,19.307400,19.791271,19.307400,19.715370,13.410156,44282124
2011-05-26,19.573055,19.905123,19.525618,19.829222,13.487595,40595126
2011-05-27,19.886148,19.971537,19.715370,19.857685,13.506957,29362121
2011-05-31,19.924099,20.351044,19.914612,20.351044,13.842534,58351653
2011-06-01,20.246679,20.351044,19.905123,19.971537,13.584397,48653694
2011-06-02,19.952562,20.047438,19.791271,19.924099,13.552130,33254649
2011-06-03,19.601519,19.981026,19.601519,19.772297,13.448880,37880655
2011-06-06,19.753321,19.886148,19.639469,19.677420,13.384344,29085341
2011-06-07,19.867172,19.895636,19.677420,19.677420,13.384344,36542812
2011-06-08,19.800758,19.800758,19.516129,19.620493,13.345625,44304468
